system,system_category,system_categoryDescription,Module,ModuleDescription,Genre,GenreDescription,Sub-genre,Sub-genreDescription,Feature,FeatureDescription,Prompt_template,Output
Root,,,,,,,,,,,,
,Account_Management,"Managing user accounts including functionalities such as user registration, login, password management, and profile updates and allow role based access control .It also covers managing organisation account , user groups.",,,,,,,,,,
,,,RoleAcess_module,Creates a function that allow administrators and users to implement roles and manage permissions based on roles.,,,,,,,"Choose from the options required to carry out the user story input from the list below.You can choose more than one option. 

Options:
As a user, I want to create role admin
As a user, I want to update role admin
As a user, I want to delete role admin

Default:As a user, I want to retrieve role admin 

Return BOTH chosen options and default.
IF NO OPTION WAS MATCHED, RETURN ONLY the default and NOTHING ELSE.

Create role admin gives a function that allow administrator to create new role.
Retrieve role admin gives a function that allow administrator to list and retrieve role(s) information. A use case will be an administrator can view all existing roles, including their permissions.
Update role admin gives a function that allow administrator to modify an existing role. A use case will be an administrator may need to change the permissions of an existing role.
Delete role admin gives a function that allow administrator to removes roles from the system. A use case is an administrator may need to delete a role that is no longer required.

Example:
Input:As a System Administrator, I want to delete the ""Admin"" role from the system
Output:
As a user, I want to retrieve role admin 
As a user, I want to delete role admin ",
,,,User_module,"Creates a user interface that allows people to create , update, retrieve and delete user account and profile.",,,,,,,"
","As a user, I want to create user admin
As a user, I want to retrieve user admin
As a user, I want to update user admin
As a user, I want to delete user admin "
,,,Organisation_module,"Creates a front end interface to allow user to create, update, retrieve and delete user/organisation groups in the system.  ",,,,,,,,"As a user, I want to create organisation admin
As a user, I want to retrieve  organisation admin
As a user, I want to update  organisation admin
As a user, I want to delete  organisation admin "
,,,Registeration_module,Creates a function that allow new users to register account,,,,,,,,"As a user, I want to register users admin"
,Functional,"A functional module is a self-contained component that provides specific features, such as notifications, task management, widget creation, or the creation and modification of functional entities. It enables a specific function within the application by encapsulating the logic and processes required to perform these tasks.",,,,,,,,,,
,,,Communication,"Creates a communication module that  facilitate interaction between users or between the application and external systems. It handles various forms of communication, such as messaging, notifications, and data exchange. They can be in the form of alerts or updates to users about important events, messages, or changes within the application and integrated with emails.
",Notification_module,"Creates a notification module  using NodeJS . It creates a function that allows you to create new, edit, list and  delete announcement and notifications within the system and send email notification to assigned user groups. ",,,,,"Based on the user story input, choose from the options below. You may select more than one option. 

Return ONLY the default option if selected, without any additional text.
If no options are selected, ONLY return the default.

Options:
- As a user, I want to create notification
- As a user, I want to update notification
- As a user, I want to delete notification

Default: As a user, I want to retrieve notification

Context:
The Notification Module manages and delivers notifications to users, providing timely updates, alerts, and messages relevant to the user experience.

Explanation of options:
- **Create notification:** Allows users to add a new notification to the system.
- **Update notification:** Enables users to modify an existing notification message.
- **Delete notification:** Allows users to remove a notification from the system.",
,,,,,TaskManagementPage_module,"Creates a job distribution or workflow interface that users can use to record and update jobs. It allows users to create and assign work to other, edit the job assigned, list the jobs,  delete jobs and track completion status withitn the system. Once  the job status has been updated or progressed, users can be updated via the selected distribution channel.",,,,,"Choose  from the options below based on the user story input.You can choose more than one option. 

Return ONLY the default with the chosen options.
If NO option was selected, ONLY RETURN default

Options:
As a user, I want to create task
As a user, I want to update task
As a user, I want to delete task

Default:
As a user, I want to retrieve task
A task management module creates a job distribution or workflow interface that users can use to record and update jobs status.

Create task gives a function that allow users to assign and create new work and assign it to the  respective people.
Retrieve task gives a function that allow users to list out the amount of work and the status of the work progress.
Update task gives a function that allow users to modify the work scope, status  or deadline within the system
Delete task gives a function that allow users to delete the work or task in the system.",
,,,Chatbot_creation,Create a chatbot component which are agents that faciliate interaction with users without having human intervention. They listens for messages from users and provide a response to the enquiry.,,,,,,,,"As a user, I want to add chatbot component"
,,,FunctionalEntity_CreationOrModification,A functional entity is a specific part of a website that has a clear job or function. Think of it as a tool or feature that helps users achieve something or access important information.,FunctionalEntityCreation_module,"Creates a functional entity on node JS with the function to  create, retrieve , update and delete specific fields in the functional entity. They can be interpreted to be custom data tables that user can hold, display and interact with on a website to perform a task. They are dedicated section of a website that serves a particular role. Examples include: acContact Us Page for users to submit inquiries or feedback, or a user profile page that allows users to view and edit their account information of a product details page that displays information about a specific product, including images, descriptions, and pricing.",,,,,"In the context of developing a FunctionalEntityCreation module, please follow the steps below:

1.Identify Functional Entities: Choose the specific functional entities from the list of available functional entities provided. These entities should align with the user story provided.
2.Create New Functional Entities (Only if Necessary): ONLY create new functional entities if it is absolutely required to achieve the user story and the necessary functional entity is not present in the provided list.    When creating a new entity, ensure it directly relates to fulfilling the user story.
3.Replace Placeholders in the Output: Parse and replace the placeholders (brackets) in the output template below with the chosen functional entity names. Use lowerCamelCase for the functional entity names when replacing the placeholders. The bracketed terms MUST be replaced with a SINGLE word.
Return  the output below.

Output:
As a user, I want to retrieve [FunctionalEntity] functionalentity
As a user, I want to create[FunctionalEntity] functionalentity
As a user, I want to update [FunctionalEntity] functionalentity
As a user, I want to delete  [FunctionalEntity] functionalentity

Example output:
As a user, I want to retrieve shoppingCart functionalentity
As a user, I want to create shoppingCart functionalentity
As a user, I want to update shoppingCart functionalentity
As a user, I want to delete shoppingCart functionalentity",
,,,,,,,NestedFunctionalEntityCreation_module,"It creates entities in a hierarchical (parent-child) structure. It encapsulates the logic for generating one or more entities, where child entities are dependent on or linked to a parent entity. The function ensures that certain sub-entities are created as part of a larger entity, reflecting their dependencies and relationships.

In a Node.js context, this function can create and link various components (entities) within an application, such as a booking system, project management system, or any structure where entities are related hierarchically.",,,"You are helping me create a nested functional entity system for a website platform. 

### Instructions:
1.The parent functional entity can be found in the userstories of the parent functional entity created previously in parent_function_entity_us.
2.From the list of available functional entities, identify the  **child** entites required  to fulfill the query in the user stories. These entities should align with the  requirements provided in the user story query.
3.Create New Child Functional Entities (Only if Necessary): ONLY create new child functional entities if it is absolutely required to achieve the user story and the necessary child functional entity is not present in the provided list.    When creating a new child functional entity, ensure it directly relates to fulfilling the user story.
4.Replace Placeholders in the Output: Parse and replace the placeholders (brackets) in the output template below with the chosen functional entity names. For chilld entities taken from the  list,retain the format when replacing placeholders. Use lowerCamelCase for new child functional entity names created when replacing the placeholders. The bracketed terms MUST be replaced with a SINGLE word.

RETURN ONLY the output below. You can return multiple outputs.

### Output Format:
As a user, I want to read [ChildEntity] for each [ParentEntity]
As a user, I want to retrieve [ChildEntity] functionalentity
As a user, I want to create [ChildEntity] functionalentity
As a user, I want to update [ChildEntity] functionalentity
 As a user, I want to delete [ChildEntity] functionalentity

",
,,,,,Widget_Creation_module,"Creates a widget, which is a user interface element that performs a specific function or displays particular information. They can present information,  facilitate data entry, allowing users to submit information through fields, sliders, dropdown menus or entering text in forms. Widgets allow users to engage with the application, such as by clicking buttons, entering text, or selecting options. Many widgets allow users to personalize their settings or appearance to better suit their preferences.
",FileUpDownload_module,Creates a file upload  and download widget which allow users to upload files for particular data atttribute within a functional entity.,,,"In the context of developing a FileUpload and FileDownloadmodule widget, please identify the specific functional entities that need to be created based on the user story provided.
You can ONLY select the functional entities from the functionalentity_and_field provided in the user stories.
Parse in the functional entity extracted into the bracket found in the output template below for the chosen options. 
The brackets in the chosen output template MUST be replaced with a SINGLE word. 

If no option was selected, DO NOT return anything.

Output choices:
As a user, I want to upload file [functional entity] functionalEntity
As a user, I want to download file [functional entity] functionalEntity

Example:
Input: Students can attach thier homework  onto the course assignment submission page.
Output: As a user, I want to upload file assignment functionalEntity.",
