p,pt
Root,
Account_Management,
RoleAcess_module,"Choose from the options required to carry out the user story input from the list below.You can choose more than one option. 

Options:
As a user, I want to create role admin
As a user, I want to update role admin
As a user, I want to delete role admin

Default:As a user, I want to retrieve role admin 

Return BOTH chosen options and default.
IF NO OPTION WAS MATCHED, RETURN ONLY the default and NOTHING ELSE.

Create role admin gives a function that allow administrator to create new role.
Retrieve role admin gives a function that allow administrator to list and retrieve role(s) information. A use case will be an administrator can view all existing roles, including their permissions.
Update role admin gives a function that allow administrator to modify an existing role. A use case will be an administrator may need to change the permissions of an existing role.
Delete role admin gives a function that allow administrator to removes roles from the system. A use case is an administrator may need to delete a role that is no longer required.

Example:
Input:As a System Administrator, I want to delete the ""Admin"" role from the system
Output:
As a user, I want to retrieve role admin 
As a user, I want to delete role admin "
Notification_module,"Based on the user story input, choose from the options below. You may select more than one option. 

Return ONLY the default option if selected, without any additional text.
If no options are selected, ONLY return the default.

Options:
- As a user, I want to create notification
- As a user, I want to update notification
- As a user, I want to delete notification

Default: As a user, I want to retrieve notification

Context:
The Notification Module manages and delivers notifications to users, providing timely updates, alerts, and messages relevant to the user experience.

Explanation of options:
- **Create notification:** Allows users to add a new notification to the system.
- **Update notification:** Enables users to modify an existing notification message.
- **Delete notification:** Allows users to remove a notification from the system."
TaskManagementPage_module,"Choose  from the options below based on the user story input.You can choose more than one option. 

Return ONLY the default with the chosen options.
If NO option was selected, ONLY RETURN default

Options:
As a user, I want to create task
As a user, I want to update task
As a user, I want to delete task

Default:
As a user, I want to retrieve task
A task management module creates a job distribution or workflow interface that users can use to record and update jobs status.

Create task gives a function that allow users to assign and create new work and assign it to the  respective people.
Retrieve task gives a function that allow users to list out the amount of work and the status of the work progress.
Update task gives a function that allow users to modify the work scope, status  or deadline within the system
Delete task gives a function that allow users to delete the work or task in the system."
Chatbot_creation,
FunctionalEntityCreation_module,"In the context of developing a FunctionalEntityCreation module, please follow the steps below:

1.Identify Functional Entities: Choose the specific functional entities from the list of available functional entities provided. These entities should align with the user story provided.
2.Create New Functional Entities (Only if Necessary): ONLY create new functional entities if it is absolutely required to achieve the user story and the necessary functional entity is not present in the provided list.    When creating a new entity, ensure it directly relates to fulfilling the user story.
3.Replace Placeholders in the Output: Parse and replace the placeholders (brackets) in the output template below with the chosen functional entity names. Use lowerCamelCase for the functional entity names when replacing the placeholders. The bracketed terms MUST be replaced with a SINGLE word.
Return  the output below.

Output:
As a user, I want to retrieve [FunctionalEntity] functionalentity
As a user, I want to create[FunctionalEntity] functionalentity
As a user, I want to update [FunctionalEntity] functionalentity
As a user, I want to delete  [FunctionalEntity] functionalentity

Example output:
As a user, I want to retrieve shoppingCart functionalentity
As a user, I want to create shoppingCart functionalentity
As a user, I want to update shoppingCart functionalentity
As a user, I want to delete shoppingCart functionalentity"
FileUpDownload_module,"In the context of developing a FileUpload and FileDownloadmodule widget, please identify the specific functional entities that need to be created based on the user story provided.
You can ONLY select the functional entities from the functionalentity_and_field provided in the user stories.
Parse in the functional entity extracted into the bracket found in the output template below for the chosen options. 
The brackets in the chosen output template MUST be replaced with a SINGLE word. 

If no option was selected, DO NOT return anything.

Output choices:
As a user, I want to upload file [functional entity] functionalEntity
As a user, I want to download file [functional entity] functionalEntity

Example:
Input: Students can attach thier homework  onto the course assignment submission page.
Output: As a user, I want to upload file assignment functionalEntity."
FieldSelection_module,"Choose  from the options below based on the user story input.You can choose more than one option. 

For the selected options, in the context of developing a FieldSelection_module widget, please identify the specific functional entities and  and fields from the functionalentity_and_field provided to meet the query of the user stories.
You can ONLY select the functional entities  from the functionalentity_and_field provided in the user stories.
Create New Fields (Only if Necessary): ONLY create new fields if it is absolutely required to achieve the user story and the necessary field is not present in the provided list.    When creating a new field, ensure it directly relates to fulfilling the user story.
Parse in the functional entity and field extracted into the bracket found in the output template below for the chosen options. 
The brackets in the chosen output template MUST be replaced with a SINGLE word. Use lowerCamelCase for the newly created field.

Return ONLY the output template of the chosen option.
You can return more than one output.
If no option was selected, DO NOT return anything.

1. Description: Creates a widget that allows you to filter and retrieve data for a specified date.
Output template: As a user, I want datepicker widget for [Field] on [functional entity]

2.Description:Creates a widget to toggle between on and off usually for user preference settings. 
Output template:As a user, I want togglebox widget for [Field] on [functional entity]

3.Description:Creates a dropdown list for selection that allows you to select a single option. 
Outpu template:As a user, I want dropdownsingle widget for [Field] on [functional entity]

4.Description:Creates a slider for selection that allows you to select multiple options.
Output template:As a user, I want slider widget for [Field] on [functional entity]

5.Description:Creates a checkbox feature to allow users to select and tick desired features that they want to enable. They can be used in confirmation action, multiple selection , filter or search options.
Output template:As a user, I want checkbox widget for [Field] on [functional entity]

6.Description:Creates a dropdown list for selection that allows you to select multiple options.
Output template:As a user, I want dropdownmultiple widget for [Field] on [functional entity]

Example:
Input: Teachers are able to pull attendance off thier students for the year.
Output: As a user, I want datepicker widget for year on attendance."
TimeSelection_Module,"In the context of developing a TimeSelection_module widget,please identify the specific functional entities and  and fields from the functionalentity_and_field provided to meet the query of the user stories.
You can ONLY select the functional entities  from the functionalentity_and_field provided in the user stories.
Create New Fields (Only if Necessary): ONLY create new fields if it is absolutely required to achieve the user story and the necessary field is not present in the provided list.    When creating a new field, ensure it directly relates to fulfilling the user story.
Parse in the functional entities and fields extracted into the bracket found in the output template below for the chosen options. 
The brackets in the chosen output template MUST be replaced with a SINGLE word. Use lowerCamelCase for the newly created field.

Return ONLY the output template.
If no option was selected, DO NOT return anything.

Output format:
As a user, I want timepicker widget for [Field] on [functional_entity]

Example:
Input:Booking classroom resources according to lesson schedule.
Output:As a user, I want timepicker widget for classroom on Booking"
