Child,Parent
Root,
Functional,Root
Account_Management,Root
Communication,Functional
Chatbot_creation,Functional
FunctionalEntity_CreationOrModification,Functional
Selection_module,Widget_Creation_module
Widget_Creation_module,FunctionalEntity_CreationOrModification
User_module,Account_Management
RoleAcess_module,Account_Management
Organisation_module,Account_Management
Notification_module,Communication
TaskManagementPage_module,Communication
Registeration_module,Account_Management
FunctionalEntityCreation_module,FunctionalEntity_CreationOrModification
Validation_DataFormat_module,FunctionalEntity_CreationOrModification
FieldSelection_module,Selection_module
FileUpDownload_module,Widget_Creation_module
TextInputField_module,Widget_Creation_module
TimeSelection_Module,Selection_module
Rating_module,Widget_Creation_module
UIUXDesign_Module,Widget_Creation_module
NestedFunctionalEntityCreation_module,FunctionalEntityCreation_module
